experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
3,4,357600,847998717977900,14,444500,
3,1,508100,,,TOTAL,,34736200
3,2,561000,,,TOTAL,,31256800
3,3,453700,,,TOTAL,,30983500
3,4,357600,,,TOTAL,,34967100
4,2,575700,847998886459600,0,23850600,
4,4,392600,847998886788400,0,24240400,
4,3,499200,847998887122800,0,24539700,
4,1,514200,847998887475700,0,24952300,
4,1,514200,847998887849600,1,297100,
4,2,575700,847998888091000,1,538700,
4,3,499200,847998888399700,1,847200,
4,4,392600,847998888720500,1,1161600,
4,3,499200,847998888961900,2,559600,
4,2,575700,847998889197500,2,1104300,
4,1,514200,847998889408700,2,1556700,
4,1,514200,847998889641800,3,230800,
4,2,575700,847998889910100,3,710000,
4,3,499200,847998890131200,3,1166800,
4,4,392600,847998890307200,2,1584200,
4,3,499200,847998890476400,4,342500,
4,2,575700,847998890643800,4,731300,
4,1,514200,847998890811100,4,1166900,
4,2,575700,847998890981500,5,335300,
4,3,499200,847998891199300,5,720700,
4,4,392600,847998891398400,3,1088700,
4,3,499200,847998891598500,6,396700,
4,2,575700,847998891906700,6,923000,
4,1,514200,847998892180700,5,1367500,
4,2,575700,847998892398900,7,489800,
4,3,499200,847998892595000,7,994000,
4,4,392600,847998892799400,4,1398600,
4,3,499200,847998892981000,8,377800,
4,2,575700,847998893246200,8,844900,
4,1,514200,847998893451500,6,1257900,
4,2,575700,847998893706600,9,458100,
4,3,499200,847998893905100,9,921700,
4,4,392600,847998894103700,5,1302000,
4,3,499200,847998894324100,10,416900,
4,3,499200,847998894629500,11,269700,
4,2,575700,847998894868400,10,1159500,
4,2,575700,847998895085300,11,194900,
4,1,514200,847998895289300,7,1835900,
4,2,575700,847998895479200,12,391800,
4,2,575700,847998895683500,13,202600,
4,3,499200,847998895897000,12,1265300,
4,4,392600,847998896093300,6,1987300,
4,4,392600,847998896263300,7,168100,
4,4,392600,847998896417200,8,152300,
4,3,499200,847998896620300,13,721300,
4,2,575700,847998896817000,14,1131900,
4,1,514200,847998897099000,8,1807700,
4,3,499200,847998897272200,14,649700,
4,4,392600,847998897530300,9,1111200,
4,1,514200,847998897734900,9,633400,
4,1,514200,847998897920700,10,184200,
4,4,392600,847998898131400,10,599000,
4,1,514200,847998898314000,11,378200,
4,4,392600,847998898515500,11,375700,
4,1,514200,847998898722400,12,406700,
4,4,392600,847998898904100,12,353300,
4,1,514200,847998899095000,13,368200,
4,4,392600,847998899314700,13,408100,
4,1,514200,847998899524300,14,426900,
4,4,392600,847998899750400,14,433600,
4,1,514200,,,TOTAL,,37002800
4,2,575700,,,TOTAL,,34210200
4,3,499200,,,TOTAL,,34691400
4,4,392600,,,TOTAL,,37204600
5,3,539700,847999092209500,0,25004600,
5,1,605600,847999092515300,0,25354600,
5,2,619200,847999092874100,0,25652900,
5,4,480600,847999093402000,0,26227000,
5,2,619200,847999093706500,1,704600,
5,1,605600,847999093940000,1,941600,
5,3,539700,847999094231400,1,1235700,
5,1,605600,847999094517200,2,574600,
5,2,619200,847999094867300,2,1158500,
5,4,480600,847999095108700,1,1698500,
5,2,619200,847999095344500,3,474700,
5,1,605600,847999095648200,3,1128400,
5,3,539700,847999095985000,2,1751000,
5,1,605600,847999096291800,4,637500,
5,2,619200,847999096536000,4,1188800,
5,4,480600,847999096792900,2,1681300,
5,2,619200,847999097089200,5,550500,
5,1,605600,847999097308100,5,1013700,
5,3,539700,847999097498700,3,1511300,
5,1,605600,847999097683800,6,373300,
5,2,619200,847999097923000,6,831100,
5,4,480600,847999098186800,3,1391200,
5,2,619200,847999098452700,7,526900,
5,1,605600,847999098686600,7,1000200,
5,3,539700,847999099029000,4,1527700,
5,1,605600,847999099294200,8,604900,
5,2,619200,847999099576300,8,1120800,
5,4,480600,847999099802700,4,1613000,
5,2,619200,847999100089700,9,510800,
5,1,605600,847999100306700,9,1009700,
5,3,539700,847999100522600,5,1490500,
5,1,605600,847999100783000,10,473600,
5,2,619200,847999101014000,10,921600,
5,4,480600,847999101286900,5,1481500,
5,2,619200,847999101553900,11,531100,
5,1,605600,847999101756900,11,954700,
5,3,539700,847999101952400,6,1427100,
5,1,605600,847999102198300,12,438700,
5,2,619200,847999102541900,12,985300,
5,4,480600,847999102807800,6,1518100,
5,2,619200,847999103148900,13,604300,
5,1,605600,847999103372100,13,1171100,
5,3,539700,847999103629200,7,1674100,
5,1,605600,847999103874300,14,499600,
5,2,619200,847999104150100,14,998400,
5,4,480600,847999104409800,7,1599500,
5,3,539700,847999104598200,8,966300,
5,4,480600,847999104789900,8,377500,
5,3,539700,847999105021300,9,420400,
5,3,539700,847999105204100,10,180100,
5,4,480600,847999105450600,9,658100,
5,3,539700,847999105656400,11,444400,
5,4,480600,847999105860700,10,407600,
5,3,539700,847999106076500,12,417500,
5,4,480600,847999106388900,11,518900,
5,3,539700,847999106572700,13,455100,
5,4,480600,847999106782400,12,390700,
5,4,480600,847999107048600,13,263600,
5,3,539700,847999107332800,14,757800,
5,4,480600,847999107613700,14,562300,
5,1,605600,,,TOTAL,,36716500
5,2,619200,,,TOTAL,,36931600
5,3,539700,,,TOTAL,,40130800
5,4,480600,,,TOTAL,,40441100
6,4,341500,847999291299800,0,23412500,
6,3,443800,847999291604900,0,23677700,
6,1,495900,847999291933800,0,24059800,
6,2,521300,847999292244300,0,24290900,
6,3,443800,847999292569100,1,460800,
6,3,443800,847999292879700,2,308400,
6,3,443800,847999293274900,3,392700,
6,4,341500,847999293544700,1,1436200,
6,1,495900,847999293811600,1,1704400,
6,4,341500,847999294026000,2,478600,
6,3,443800,847999294257000,4,979900,
6,2,521300,847999294528700,1,2279800,
6,3,443800,847999294776700,5,517700,
6,4,341500,847999294970300,3,941700,
6,1,495900,847999295177600,2,1363300,
6,4,341500,847999295371100,4,398500,
6,3,443800,847999295556600,6,777300,
6,2,521300,847999295744900,2,1210100,
6,3,443800,847999296036700,7,477900,
6,3,443800,847999296321200,8,282300,
6,3,443800,847999296648800,9,325400,
6,4,341500,847999296858500,5,1485100,
6,1,495900,847999297063500,3,1883600,
6,4,341500,847999297279700,6,418600,
6,3,443800,847999297563100,10,912100,
6,2,521300,847999297757900,3,2011200,
6,3,443800,847999298013700,11,435500,
6,4,341500,847999298216900,7,934700,
6,1,495900,847999298471400,4,1405500,
6,4,341500,847999298680300,8,460600,
6,3,443800,847999298868400,12,852300,
6,2,521300,847999299069800,4,1309800,
6,3,443800,847999299259700,13,389500,
6,4,341500,847999299452100,9,769600,
6,1,495900,847999299645700,5,1171700,
6,4,341500,847999299860500,10,406200,
6,3,443800,847999300047100,14,785200,
6,2,521300,847999300393600,5,1321400,
6,4,341500,847999300630700,11,761100,
6,1,495900,847999300808900,6,1161100,
6,1,495900,847999301006100,7,195500,
6,4,341500,847999301204000,12,570700,
6,2,521300,847999301396200,6,999800,
6,4,341500,847999301577500,13,371400,
6,1,495900,847999301806500,8,798500,
6,1,495900,847999302011700,9,203400,
6,1,495900,847999302187900,10,174300,
6,4,341500,847999302406800,14,818000,
6,2,521300,847999302627200,7,1228700,
6,1,495900,847999302814500,11,611100,
6,1,495900,847999302963300,12,147200,
6,2,521300,847999303161700,8,532200,
6,1,495900,847999303371700,13,406900,
6,2,521300,847999303588400,9,424800,
6,1,495900,847999303781100,14,407700,
6,2,521300,847999304018200,10,392600,
6,2,521300,847999304177100,11,153000,
